Time (sec);Toe;MTP;Heel;Ankle;knee;Hip
1,134;-0,303042154;-0,227294191;-0,076121788;-0,124683341;-0,295929085;-0,19636853
1,151;-0,304022495;-0,229371602;-0,083234976;-0,134144785;-0,268911599;-0,205086158
1,168;-0,305989293;-0,233165922;-0,091189026;-0,147259031;-0,241873884;-0,212034755
1,184;-0,309152292;-0,238681279;-0,09913197;-0,161000447;-0,218813257;-0,216413281
1,201;-0,312480637;-0,244228139;-0,106178138;-0,171045068;-0,203881412;-0,217773324
1,218;-0,313435553;-0,246586951;-0,111478728;-0,174996003;-0,199044787;-0,216139157
1,234;-0,30993261;-0,243575419;-0,114272346;-0,1735609;-0,202393843;-0,212085099
1,251;-0,302299694;-0,236128559;-0,114318783;-0,168994951;-0,209166113;-0,206646069
1,268;-0,292737892;-0,227020191;-0,112156784;-0,16348326;-0,215025673;-0,20101656
1,284;-0,283730441;-0,218689084;-0,108772476;-0,158466446;-0,218442299;-0,196153097
1,301;-0,277202437;-0,212729768;-0,105151603;-0,15469146;-0,21999846;-0,192526793
1,318;-0,274164788;-0,209980111;-0,102041704;-0,152451596;-0,220496935;-0,190204842
1,334;-0,27458333;-0,210372596;-0,099875134;-0,151545463;-0,220147415;-0,189083941
1,351;-0,277562915;-0,213057987;-0,098777574;-0,151398909;-0,218853988;-0,188950487
1,368;-0,281773914;-0,21692211;-0,098631021;-0,151535305;-0,216941699;-0,189409343
1,384;-0,286018953;-0,220988121;-0,099186715;-0,151849066;-0,215155027;-0,18997161
1,401;-0,28962079;-0,224472011;-0,100186172;-0,152415333;-0,213848003;-0,190259846
1,418;-0,292416927;-0,226963246;-0,101434834;-0,153169255;-0,21281801;-0,190070285
1,434;-0,294604119;-0,228683384;-0,102808913;-0,15395229;-0,211772697;-0,189330523
1,451;-0,2965236;-0,230157435;-0,104203936;-0,154736836;-0,210514584;-0,188117866
1,468;-0,2983087;-0,231636883;-0,105470293;-0,155503158;-0,209023615;-0,186645408
1,485;-0,299737241;-0,233021869;-0,106363349;-0,156132345;-0,207498293;-0,185127883
1,501;-0,30046289;-0,233988903;-0,106498809;-0,156612583;-0,205966975;-0,183708206
1,518;-0,300224421;-0,23401894;-0,105355426;-0,156968646;-0,204250991;-0,182482699
1,535;-0,298784663;-0,23253593;-0,102361158;-0,156797174;-0,202614355;-0,181432401
1,551;-0,295885157;-0,229029498;-0,09702653;-0,15489128;-0,201881053;-0,180357069
1,568;-0,291680776;-0,223310572;-0,089111076;-0,149160375;-0,202950755;-0,179012701
1,585;-0,287188878;-0,216101242;-0,078839123;-0,137454012;-0,206468074;-0,177261252
1,601;-0,283634433;-0,209067073;-0,067102722;-0,119958775;-0,212510235;-0,175008614
1,618;-0,281360639;-0,2037956;-0,05541181;-0,100771491;-0,220479046;-0,172076513
1,635;-0,279908533;-0,200789073;-0,045385553;-0,085440626;-0,230345628;-0,168261916
1,651;-0,278900521;-0,199519529;-0,038075876;-0,077147727;-0,244348101;-0,163579595
1,668;-0,278388289;-0,199201746;-0,033665123;-0,075741657;-0,265111036;-0,158408795
1,685;-0,278437259;-0,199280233;-0,031643528;-0,07861814;-0,290486077;-0,153379525
1,701;-0,27879119;-0,19944615;-0,031190317;-0,082101423;-0,312751669;-0,149104033
1,718;-0,279111803;-0,199566994;-0,031515475;-0,083604802;-0,325131015;-0,145909991
1,735;-0,279263604;-0,199621503;-0,032058873;-0,082940297;-0,327804214;-0,14374016
1,751;-0,279277458;-0,199632834;-0,032527994;-0,081479489;-0,326442909;-0,142282036
1,768;-0,279225792;-0,199629691;-0,032817413;-0,080459494;-0,325779157;-0,141198353
1,785;-0,279161141;-0,199628625;-0,032908799;-0,080156967;-0,325806732;-0,140296122
1,801;-0,279103542;-0,199632952;-0,032815221;-0,08018791;-0,324132443;-0,139556601
1,818;-0,27905226;-0,199639783;-0,032560328;-0,080078995;-0,319771468;-0,139040019
1,835;-0,278999485;-0,199645405;-0,032176607;-0,079588719;-0,313311413;-0,138758057
1,852;-0,278937644;-0,199646881;-0,031719398;-0,078814464;-0,305278547;-0,138642913
1,868;-0,278861829;-0,199642333;-0,031278686;-0,077984334;-0,295812442;-0,13861612
1,885;-0,278770243;-0,199631366;-0,030957294;-0,077175564;-0,285002906;-0,138649446
1,902;-0,278664256;-0,199615129;-0,030826025;-0,076430829;-0,272990988;-0,138779014
1,918;-0,278548194;-0,199595722;-0,030904329;-0,075856387;-0,260219358;-0,139083168
1,935;-0,278428619;-0,199575885;-0,031169702;-0,075376911;-0,247483917;-0,139614433
1,952;-0,27831382;-0,19955884;-0,031561037;-0,074778846;-0,235287634;-0,140327904
1,968;-0,278213558;-0,199547221;-0,031976938;-0,074107416;-0,223553804;-0,141116505
1,985;-0,278136642;-0,199541609;-0,03230209;-0,073658504;-0,212229669;-0,141896668
2,002;-0,278082115;-0,19954043;-0,032453918;-0,073556466;-0,201317293;-0,142588826
2,018;-0,278021352;-0,199541246;-0,03240241;-0,073599145;-0,190463188;-0,143098193
