Time (ms);Toe;MTP;Heel;Ankle;Knee;Hip
10444;-0,647711869978178;-0,664221340247567;-0,652074970560241;-0,589848112865468;-0,170854933212625;0,244623942855009
10460;-0,636431729233053;-0,660529007896419;-0,660958230756377;-0,597301221538974;-0,175361365368664;0,24199248521876
10477;-0,62495862049699;-0,655793537738306;-0,667709311622194;-0,602830739028475;-0,179778213017146;0,239299757215667
10494;-0,613886381382881;-0,65025752737104;-0,67188336383151;-0,605813302254841;-0,183803228094992;0,236556665736783
10510;-0,604698909263815;-0,645380401879678;-0,67441494848651;-0,60711742250606;-0,187188906906756;0,233887026423408
10527;-0,599238941821463;-0,642804123105625;-0,676271249127568;-0,608271069384298;-0,19002310323288;0,231436251740543
10544;-0,598937949865213;-0,643535941130306;-0,677837874812191;-0,610322314275893;-0,192621304841963;0,22922241627689
10561;-0,604103513262474;-0,647554454962969;-0,679147099637303;-0,613198582001384;-0,195275123254134;0,227159495444835
10577;-0,613658081569385;-0,653769732932844;-0,680127149135404;-0,61604673736026;-0,198070145043072;0,225231654808296
10594;-0,625602070876041;-0,660689889445893;-0,680684261051743;-0,61807602251546;-0,200805009567578;0,223564775067256
10611;-0,63786837120218;-0,66729362592155;-0,680842987631743;-0,619067506046409;-0,203132607101675;0,222358782612252
10627;-0,648913369585535;-0,673075999984238;-0,68077351717284;-0,619315378698631;-0,204835202432298;0,221824456904559
10644;-0,65788389064852;-0,677679388999715;-0,680645046772425;-0,619258084637403;-0,205888877123009;0,222113001041737
10661;-0,664493819625572;-0,681005266558674;-0,680545329299524;-0,619178051015313;-0,20634689774569;0,223191112442814
10677;-0,668809270204374;-0,683272884933507;-0,68049680774484;-0,619160087189976;-0,206302281657419;0,224808051518248
10694;-0,671231683638958;-0,684657152450721;-0,680486044420218;-0,619188028849711;-0,20589468419745;0,226646841178627
10711;-0,67245192300847;-0,68524441425982;-0,680491010656025;-0,619227260497482;-0,205324099335307;0,228494722272516
10727;-0,673156013453764;-0,685294522687429;-0,680498174181347;-0,619257509558579;-0,204892945719067;0,230253094802197
10744;-0,673773198296596;-0,68517195443151;-0,680502853258928;-0,619274019397063;-0,204891671100824;0,231852627344356
10761;-0,674377617589112;-0,685094883651856;-0,680502107679876;-0,619281846985675;-0,205365944202819;0,233235769931517
10777;-0,674810853804043;-0,685094946434908;-0,68049331363333;-0,619290544731816;-0,206142117051434;0,234381321230872
10794;-0,675003999579172;-0,685122937690037;-0,680476333827956;-0,619306408654107;-0,207056071211817;0,23530186925469
10811;-0,675113026792861;-0,685148679859809;-0,680452501226722;-0,619326344810405;-0,208009663419875;0,236023348910719
10827;-0,675382664679044;-0,685232899945515;-0,680423215587224;-0,619325823155282;-0,208924927815425;0,236545181061031
10844;-0,67595578690886;-0,685545853943617;-0,680389278548865;-0,619228287804085;-0,209738255060494;0,236859384269587
10861;-0,676758733633024;-0,686204298867109;-0,680349517452008;-0,618899606338075;-0,210332815461093;0,237022341467549
10878;-0,677616215846878;-0,687007766248683;-0,680302824731317;-0,618270511743288;-0,210547487364292;0,237109439843472
10894;-0,678441058011666;-0,687557503718881;-0,680253889100388;-0,617513032608443;-0,21039149208662;0,23711027259894
10911;-0,679179946392175;-0,687701472443269;-0,680210797793836;-0,616945576654228;-0,210177400696549;0,236896793831604
10928;-0,679765697679702;-0,687609745296545;-0,68016100029545;-0,616716299725801;-0,210307034912593;0,236261744182677
10944;-0,680266825315506;-0,687481815408256;-0,680031975884079;-0,61673214021267;-0,210925191298554;0,235112729371059
10961;-0,680834875904314;-0,687394203596505;-0,679686097493086;-0,616845293788379;-0,21186472079419;0,233634652669537
10978;-0,68143889564295;-0,687342134847994;-0,679053543105644;-0,616954639613458;-0,212875306175256;0,232110924074347
10994;-0,681896591485634;-0,687302823389468;-0,67832017716467;-0,616961199509774;-0,213829261976176;0,230671458650119
11011;-0,682180464533241;-0,687263200843687;-0,677798092774843;-0,616710863690848;-0,214753782646631;0,229269703577303
11028;-0,682489656693706;-0,687221254970287;-0,67754303670093;-0,616062613731804;-0,215700586536787;0,227759320318056
11044;-0,682990593164093;-0,687180014199607;-0,677293748624627;-0,615056096712082;-0,216643984805219;0,225960019358216
11061;-0,683589907858912;-0,687142607316006;-0,676827049598484;-0,613929899732103;-0,217548033109396;0,223758885715238
11078;-0,684056829512638;-0,687112071673816;-0,676239725955995;-0,61294678084537;-0,218499399973596;0,221219346167751
11094;-0,684345415628772;-0,687095179776303;-0,675717848320206;-0,612188047266812;-0,219722944208341;0,218541656535537
11111;-0,684661872968684;-0,687101285826821;-0,675032415271991;-0,611464905858769;-0,221380706704045;0,215893952868025
11128;-0,6852111934936;-0,687121292913333;-0,673592696163192;-0,61045283674314;-0,223369311295322;0,213331940667415
11144;-0,685976174246173;-0,68708097150941;-0,671107324354007;-0,608840979173575;-0,225384852064971;0,210845666735011
11161;-0,686814196043908;-0,686814524887511;-0,667874777801211;-0,606441954988923;-0,227164795995042;0,208415417406649
11178;-0,687669232916936;-0,686202232273858;-0,664349859354496;-0,603382504343326;-0,228666719666434;0,206031666544506
11195;-0,688529821576001;-0,685394576208163;-0,660637883303851;-0,600005747481922;-0,230043389681545;0,203687453964134
11211;-0,689354429136011;-0,684665471453619;-0,656392482310568;-0,596425641864713;-0,231467095642802;0,201348567351282
11228;-0,690139225738875;-0,684045423556649;-0,6510209554664;-0,592253059288588;-0,232967278772738;0,198911830638074
11245;-0,69086377769266;-0,683308370343219;-0,643917758111612;-0,586812029457162;-0,234409968234453;0,196218304076163
11261;-0,691478368391049;-0,681956584358171;-0,634584359478041;-0,579637422504571;-0,235651084196813;0,193245121564819
11278;-0,692081281187388;-0,67907612506128;-0,622623359655141;-0,570597970067875;-0,23668030021721;0,190320214422925
